registration_number,citation_count,application_number,title,source,status,error,fetched_at
10-2614043,0,10-2022-0124849,맞춤형 업무 프로세스 진행을 위한 웹 문서 매칭형 워크 플로우 관리 방법 및 시스템,kipris_citing_service,ok,,2026-06-11T17:38:51
"11,782,432",0,"16/622,097",METHOD AND SYSTEM FOR CONTROLLING LOT RISK SCORE BASED DYNAMIC LOT MEASUREMENT ON BASIS OF EQUIPMENT RELIABILITY INDEX,kipris_citing_service,ok,,2026-06-11T17:38:52
10-2581936,1,10-2022-0124840,드래그 앤 드롭 입력 방식을 적용하여 웹 문서를 생성하는 방법 및 시스템,kipris_citing_service,ok,,2026-06-11T17:38:52
10-2581823,0,10-2021-0131424,한글로 표현된 숫자 표현 추출 방법 및 시스템,kipris_citing_service,ok,,2026-06-11T17:38:52
10-2572130,2,10-2022-0124850,문서 이미지에서 문서 양식을 추출하는 방법 및 시스템,kipris_citing_service,ok,,2026-06-11T17:38:52
10-2555809,2,10-2022-0124832,문서 양식을 웹폼으로 변환하는 방법 및 시스템,kipris_citing_service,ok,,2026-06-11T17:38:53
5782,0,P6001166/2017,طريقة ونظام لتحديد موقف معقد وفقا للتدفق الزمني للأحداث التي تحدث في كل جهاز,kipris_citing_service,ok,,2026-06-11T17:38:53
CN 110770661 B,0,201880038342.9,用于基于设备可靠性指数控制基于批次风险分数的动态批次测量的方法和系统,kipris_citing_service,ok,,2026-06-11T17:38:53
10-2476492,8,10-2020-0042790,딥러닝 기반 문서 요약 생성 방법 및 시스템,kipris_citing_service,ok,,2026-06-11T17:38:53
"11,494,636",0,"16/347,985",MACHINE LEARNING-BASED SEMICONDUCTOR MANUFACTURING YIELD PREDICTION SYSTEM AND METHOD,kipris_citing_service,ok,,2026-06-11T17:38:54
"11,483,303",0,"16/638,959",BLOCKCHAIN-BASED ONE ID SERVICE SYSTEM AND METHOD,kipris_citing_service,ok,,2026-06-11T17:38:54
109891454,0,201780067437.9,用于感测工艺/设备测量数据的细小变化的方法和系统,kipris_citing_service,ok,,2026-06-11T17:38:54
10-2448332,0,10-2021-0050836,블록체인 기반 가명정보 유통에 따른 수익분배 방법 및 시스템,kipris_citing_service,ok,,2026-06-11T17:38:54
10-2428601,6,10-2020-0108235,블록체인 플랫폼 기반의 콘텐츠 암호키를 이용한 디지털 콘텐츠 거래 방법,kipris_citing_service,ok,,2026-06-11T17:38:54
10-2428613,9,10-2020-0010192,디지털 안전보건환경 산업 특화용 이미지 학습 모델을 이용한 안전관리 방법 및 시스템,kipris_citing_service,ok,,2026-06-11T17:38:55
10-2383492,6,10-2020-0049324,블록체인 상의 스마트 계약을 이용한 사용자 키 관리 방법,kipris_citing_service,ok,,2026-06-11T17:38:55
