category,title,provider,official_url,direct_download_url,notes
표준사례,통지서 표준 문안집,지식재산처/특허청,https://www.kipo.go.kr/ko/kpoBultnDetail.do?aprchId=BUT0000048&menuCd=SCD0200640&ntatcSeq=10148&sysCd=,https://www.kipo.go.kr/ko/kpoBultnFileDown.do?aprchId=BUT0000048&ntatcAtflSeq=1&ntatcSeq=10148&sysCd=,의견제출통지서 및 거절결정서 작성 표준 사례 모음
대응서식,의견(답변 소명)서 별지 제24호서식,국가법령정보센터,https://www.law.go.kr/flDownload.do?flNm=%5B%EB%B3%84%EC%A7%80+%EC%A0%9C24%ED%98%B8%EC%84%9C%EC%8B%9D%5D+%EC%9D%98%EA%B2%AC%28%EB%8B%B5%EB%B3%80%2C+%EC%86%8C%EB%AA%85%29%EC%84%9C%0A&flSeq=71598639,https://www.law.go.kr/flDownload.do?flNm=%5B%EB%B3%84%EC%A7%80+%EC%A0%9C24%ED%98%B8%EC%84%9C%EC%8B%9D%5D+%EC%9D%98%EA%B2%AC%28%EB%8B%B5%EB%B3%80%2C+%EC%86%8C%EB%AA%85%29%EC%84%9C%0A&flSeq=71598639,거절이유 등 통지에 따른 의견 제출 서식
법적근거,특허법 제63조 거절이유통지,국가법령정보센터,https://www.law.go.kr/LSW//lsSideInfoP.do?docCls=jo&joBrNo=00&joNo=0063&lsiSeq=279827&urlMode=lsScJoRltInfoR,,거절이유 통지 및 의견서 제출기회 법적 근거
공개API,지식재산처 KIPRISPlus 의견제출통지서 REST API,공공데이터포털,https://www.data.go.kr/data/15059446/openapi.do?recommendDataYn=Y,,PDF 다운로드 주소를 XML로 제공
공개API,지식재산처 KIPRISPlus 거절결정서 REST API,공공데이터포털,https://www.data.go.kr/data/15056951/openapi.do,,PDF 다운로드 주소를 XML로 제공
원본열람,특허로 통지서 수신함,특허고객상담센터,https://kipo.go.kr/kcall/faqRead.do%3Bjsessionid%3DE911KedmrtQaxRt7CoZ3639QlMT6Gx3PmAglR8a2.kpowww-481-qm52j?curMenuCd=SCD0300095&keyword=&pageIndex=&pgmId=PGM0000014&pgmSeq=111&searchCondition=&searchDateEnd=&searchDateStart=&sysCd=SCD03&urlDo=cFaqEAList.do,,본인 사건 통지서 원본 다운로드 방법 안내
서류사본,특허로 증명서발급 서류등초본교부신청,특허고객상담센터,https://www.moip.go.kr/kcall/faqRead.do%3Bjsessionid%3DpWtQSHOW-BraQqeP-qQYsgECUOUzPQuFeCf0u5Th.kpowww-597-v682l?curMenuCd=SCD0300095&keyword=&pageIndex=&pgmId=PGM0000014&pgmSeq=94&searchCondition=&searchDateEnd=&searchDateStart=&sysCd=SCD03&urlDo=cFaqEAList.do,,제출/발송 서류 사본 발급 방법
