no,title,source_id,kind,size_bytes,size,raw_file,readable_file,named_file,open_method,url
43,특허로 특허출원가이드 _ 정보제출서,SRC-001-DOC-012,hwp,66048,64.5 KB,SRC-001-DOC-012_d23c405205.do,SRC-001-DOC-012_d23c405205.hwp,043_SRC-001-DOC-012_특허로 특허출원가이드 _ 정보제출서.hwp,"HWP 문서: 한글/한컴오피스, 또는 HWP 변환 도구로 열기",https://www.moip.go.kr/ko/contFileDown.do?path=/upload/kipo/new/form/file/p-23_s.hwp&fileNm=p-23_s.hwp
44,특허로 특허출원가이드 _ 출원절차안내,SRC-001-DOC-013,hwp,1946624,1.9 MB,SRC-001-DOC-013_cf53db25dd.do,SRC-001-DOC-013_cf53db25dd.hwp,044_SRC-001-DOC-013_특허로 특허출원가이드 _ 출원절차안내.hwp,"HWP 문서: 한글/한컴오피스, 또는 HWP 변환 도구로 열기",https://www.moip.go.kr/ko/contFileDown.do?path=/upload/kipo/new/form/file/patent.hwp&fileNm=patent.hwp
45,특허고객번호부여신청 _ 크롬 다운로드,SRC-002-DOC-014,html,455725,445.0 KB,SRC-002-DOC-014_9312abe02d.html,SRC-002-DOC-014_9312abe02d.html,045_SRC-002-DOC-014_특허고객번호부여신청 _ 크롬 다운로드.html,HTML 웹페이지: 브라우저로 열기,https://www.google.com/chrome/index.html#eula
46,특허고객번호부여신청 _ 파이어폭스 다운로드,SRC-002-DOC-015,html,63618,62.1 KB,SRC-002-DOC-015_789a911233.html,SRC-002-DOC-015_789a911233.html,046_SRC-002-DOC-015_특허고객번호부여신청 _ 파이어폭스 다운로드.html,HTML 웹페이지: 브라우저로 열기,https://www.mozilla.org/ko/firefox/new/?scene=2
47,특허고객번호부여신청 _ 다운로드,SRC-002-DOC-016,exe,24306856,23.2 MB,SRC-002-DOC-016_a43a5d7ab6.exe,SRC-002-DOC-016_a43a5d7ab6.exe,047_SRC-002-DOC-016_특허고객번호부여신청 _ 다운로드.exe,Windows 실행 설치파일: macOS에서는 내용 확인용으로만 보관,https://patent.go.kr/smart/raonkupload/agent/Patent.exe
48,특허고객번호부여신청 _ 다운로드,SRC-002-DOC-017,exe,30669048,29.2 MB,SRC-002-DOC-017_fa70a7d3a6.exe,SRC-002-DOC-017_fa70a7d3a6.exe,048_SRC-002-DOC-017_특허고객번호부여신청 _ 다운로드.exe,Windows 실행 설치파일: macOS에서는 내용 확인용으로만 보관,https://supdate.nprotect.net/nprotect/nos_service/windows/install/nos_setup.exe
49,특허고객번호부여신청 _ 다운로드,SRC-002-DOC-018,exe,10648904,10.2 MB,SRC-002-DOC-018_1522237ed7.exe,SRC-002-DOC-018_1522237ed7.exe,049_SRC-002-DOC-018_특허고객번호부여신청 _ 다운로드.exe,Windows 실행 설치파일: macOS에서는 내용 확인용으로만 보관,https://patent.go.kr/smart/MagicLine4Web/ML4Web/install_bin/magicline4nx_setup.exe
50,특허고객번호부여신청 _ 다운로드,SRC-002-DOC-019,exe,4826152,4.6 MB,SRC-002-DOC-019_3d876e4b65.exe,SRC-002-DOC-019_3d876e4b65.exe,050_SRC-002-DOC-019_특허고객번호부여신청 _ 다운로드.exe,Windows 실행 설치파일: macOS에서는 내용 확인용으로만 보관,https://patent.go.kr/smart/raonkupload/agent/raonkSetup.exe
51,특허의 이해 _ 첨부서류 양식,SRC-005-DOC-020,html,282381,275.8 KB,SRC-005-DOC-020_bc86a1a882.do,SRC-005-DOC-020_bc86a1a882.html,051_SRC-005-DOC-020_특허의 이해 _ 첨부서류 양식.html,HTML 웹페이지: 브라우저로 열기,https://www.kipo.go.kr/ko/kpoBultnMgmt.do?menuCd=SCD0200636&parntMenuCd2=SCD0200198
52,특허·실용신안 심사기준 2026.03.12 _ PDF 다운로드,SRC-006-DOC-021,pdf,12266980,11.7 MB,SRC-006-DOC-021_cb7d026584.do,SRC-006-DOC-021_cb7d026584.pdf,052_SRC-006-DOC-021_특허·실용신안 심사기준 2026.03.12 _ PDF 다운로드.pdf,"PDF 문서: 브라우저, Preview, Acrobat으로 열기",https://www.kipo.go.kr/ko/kpoContFileDown.do?seq=4&fileNum=1
